name,headline,education_background
"
              Shyam Upadhyay
            ","
              Python Developer at New York Stock Exchange
            ","['University of Pune', 'versabyte']"
"
              Krishna Panak
            ","
              Python Developer at Citadel
            ",[]
"
              Belzebub Szatanek
            ","
              Python Developer w firmie Bell Web Solutions
            ",['New York University']
"
              Rahul R
            ","
              Sr. Python Developer (Open for new opportunity)
            ",[]
"
              Terry Song
            ","
              Python Developer at Capital One
            ",['Fordham Gabelli School of Business']
"
              Clarissa Podell
            ","
              C++ and Python Developer at Morgan Stanley
            ",[]
"
              Jason Li
            ","
              Python Developer
            ",[]
"
              Adhwithi G (Looking for New Opportunity)
            ","
              Python Developer at Centier Bank
            ","['Purdue University Northwest', 'Jawaharlal Nehru Technological University']"
"
              Anoop Sama
            ","
              Senior Python Developer at Capital One
            ",['Vellore Institute of Technology']
"
              AYOUB EL ASSRI
            ","
              Python Developer at HealthFIrst
            ",['cadi ayyad university']
