ip,port
138.68.245.250,3128
209.97.150.167,3128
191.96.42.80,8080
198.199.86.11,3128
138.68.60.8,8080
159.89.130.94,8080
67.225.164.154,80
159.65.171.69,80
162.214.92.202,80
166.249.185.136,57680
107.152.32.80,3128
89.187.177.108,80
89.187.177.90,80
89.187.177.105,80
89.187.177.106,80
89.187.177.91,80
89.187.177.92,80
89.187.177.94,80
24.172.34.114,49920
89.187.177.104,80
99.192.170.250,80
161.35.4.201,80
89.187.177.101,80
89.187.177.107,80
89.187.177.93,80
89.187.177.96,80
89.187.177.86,80
89.187.177.87,80
89.187.177.102,80
24.248.207.7,55443
184.155.36.194,8080
89.187.177.97,80
104.248.63.49,31583
24.106.221.230,53281
50.233.42.98,51696
35.239.155.190,80
89.187.177.99,80
89.187.177.88,80
89.187.177.85,80
89.187.177.100,80
89.187.177.95,80
159.203.82.173,3128
52.149.152.236,80
142.93.26.173,3128
208.80.28.208,8080
89.187.177.103,80
52.167.12.183,1080
104.238.81.186,56227
50.233.228.147,8080
13.56.20.94,3128
216.169.73.65,34679
69.63.170.74,3128
45.82.245.34,3128
162.223.89.220,8080
192.169.156.163,80
40.121.91.147,80
89.187.177.89,80
3.101.153.205,3128
52.53.246.12,3128
64.17.30.238,63141
3.134.246.118,80
50.246.120.125,8080
13.59.67.232,80
47.88.7.18,8088
104.225.187.44,8082
13.92.119.142,80
167.99.146.95,8888
168.81.14.177,3128
168.81.14.175,3128
51.81.82.175,80
104.248.48.169,31583
104.248.48.172,31583
13.57.194.146,3128
52.53.150.201,3128
85.209.150.64,8085
196.17.207.194,3128
196.19.204.124,3128
193.56.64.83,8085
198.23.179.162,3128
168.80.229.153,3128
185.77.221.16,8085
185.77.220.117,8085
196.18.204.145,3128
77.83.87.32,8085
213.166.78.53,8085
93.177.116.175,8085
196.17.207.106,3128
196.17.204.139,3128
213.166.78.243,8085
77.83.87.209,8085
93.177.116.12,8085
109.94.220.45,8085
196.18.204.111,3128
104.227.196.155,3128
107.172.38.244,3128
85.208.209.127,8085
144.168.152.94,3128
77.83.87.217,8085
107.174.51.124,3128
85.208.209.39,8085
185.77.220.121,8085
85.208.211.216,8085
85.209.149.53,8085
102.64.123.118,8085
196.19.7.77,3128
168.81.135.18,3128
196.18.204.27,3128
91.188.246.158,8085
93.177.117.192,8085
102.64.120.66,8085
102.64.123.21,8085
196.17.205.167,3128
77.83.87.201,8085
91.188.247.47,8085
85.208.210.197,8085
91.188.247.222,8085
93.177.117.116,8085
85.209.149.217,8085
196.19.7.2,3128
193.56.72.107,8085
196.17.206.19,3128
85.208.209.93,8085
85.208.211.231,8085
168.81.31.183,3128
102.64.123.247,8085
185.77.221.53,8085
23.236.166.77,3128
185.77.220.70,8085
45.57.159.54,3128
168.81.28.219,3128
107.173.196.40,3128
193.56.72.23,8085
91.188.247.227,8085
23.236.166.231,3128
192.210.155.44,3128
93.177.116.67,8085
23.236.213.33,3128
85.209.151.195,8085
213.166.79.186,8085
213.166.79.101,8085
196.19.204.204,3128
196.16.87.213,3128
192.210.155.154,3128
77.83.86.84,8085
185.77.221.95,8085
185.77.221.48,8085
107.172.38.198,3128
144.168.150.42,3128
50.192.195.69,52018
50.249.79.18,8080
104.238.133.16,8080
104.248.48.212,31583
129.213.183.152,80
107.173.107.13,3128
168.81.14.189,3128
168.81.208.101,3128
168.81.13.221,3128
168.81.208.231,3128
196.19.169.118,3128
196.17.204.59,3128
168.81.134.184,3128
168.81.210.68,3128
168.81.252.117,3128
168.81.13.20,3128
192.210.155.171,3128
168.81.208.237,3128
3.87.150.154,80
167.172.212.197,80
168.81.210.230,3128
168.81.210.107,3128
168.81.14.216,3128
104.168.126.233,3128
198.50.152.64,23500
158.101.19.129,80
205.158.57.2,53281
96.43.88.52,3128
129.146.249.135,80
96.43.88.53,3128
104.248.63.18,31583
54.177.80.19,3128
52.15.62.241,80
161.199.130.1,8080
142.93.50.179,3128
128.14.163.92,3128
96.47.231.58,8020
198.211.100.174,3128
207.244.230.146,80
89.187.177.98,80
74.143.245.221,80
50.16.83.16,80
67.219.113.49,8181
13.52.219.244,3128
68.183.144.141,1080
142.93.245.232,31583
173.46.67.172,58517
142.93.112.222,3128
193.56.64.168,8085
134.122.1.153,3128
178.128.71.253,3128
142.93.26.87,3128
